,fastestLapSpeed,avgLapTimeMS,avgPitStopTimeMS,totalPitStops,fastestQualifyingLapinMS,fastestLapTimeinMS
0,215.914,77348.30985915494,20115.0,4,9999999,71845
1,213.849,77271.2957746479,19373.0,4,68360,72539
2,214.064,77310.19718309859,19348.0,4,68322,72466
3,215.363,77957.08450704225,21372.0,4,69330,72029
4,213.987,77336.08450704225,19730.0,4,68538,72492
5,218.349,77735.23943661971,20116.2,5,68925,71044
6,212.347,78250.1690140845,19368.25,4,69598,73052
7,210.694,78720.37142857142,19927.25,4,69768,73625
8,211.190,78241.4647887324,19248.5,4,69612,73452
9,215.863,80178.68115942029,20916.6,5,70776,71862
10,210.314,78626.85714285714,19895.5,4,69703,73758
11,210.961,79812.28985507246,24399.75,4,69879,73532
12,211.193,78248.23943661971,19328.75,4,69593,73451
13,207.351,79334.35714285714,21454.333333333332,3,70678,74812
14,210.577,79207.82857142857,20204.75,4,70875,73666
15,211.562,78958.6,20060.0,4,70686,73323
16,207.779,82520.875,20235.75,4,70625,74658
